Date,Open,High,Low,Close,Volume,Market Cap
"Jun 29, 2017",0.016431,0.01651,0.014951,0.015176,"11,464,800","448,698,000"
"Jun 28, 2017",0.015462,0.016529,0.014826,0.016454,"18,103,800","421,813,000"
"Jun 27, 2017",0.015333,0.016256,0.01304,0.015304,"22,702,200","417,768,000"
"Jun 26, 2017",0.01616,0.016781,0.012761,0.015333,"27,113,100","439,867,000"
"Jun 25, 2017",0.016837,0.018413,0.015563,0.016173,"19,935,300","457,829,000"
"Jun 24, 2017",0.018914,0.019343,0.016771,0.016932,"9,400,220","513,770,000"
"Jun 23, 2017",0.019378,0.020091,0.018372,0.018969,"35,910,700","525,836,000"
"Jun 22, 2017",0.01879,0.01942,0.017986,0.019345,"26,403,300","509,362,000"
"Jun 21, 2017",0.018875,0.019935,0.017883,0.018817,"27,763,200","511,098,000"
"Jun 20, 2017",0.019511,0.022364,0.0184,0.018842,"75,255,900","527,770,000"
"Jun 19, 2017",0.015906,0.020173,0.015473,0.019446,"58,745,100","429,819,000"
"Jun 18, 2017",0.016509,0.017139,0.015147,0.015913,"21,656,800","445,594,000"
"Jun 17, 2017",0.015681,0.017573,0.015011,0.01655,"39,052,300","422,802,000"
"Jun 16, 2017",0.014472,0.016091,0.013474,0.015742,"28,864,200","389,793,000"
"Jun 15, 2017",0.014089,0.0148,0.012088,0.014413,"20,135,300","379,086,000"
"Jun 14, 2017",0.015761,0.015983,0.013488,0.014094,"17,277,000","423,649,000"
"Jun 13, 2017",0.014019,0.016346,0.013144,0.015787,"33,813,100","376,404,000"
"Jun 12, 2017",0.015223,0.016333,0.012811,0.013958,"29,227,000","408,262,000"
"Jun 11, 2017",0.015344,0.016671,0.01482,0.01524,"28,378,600","411,032,000"
"Jun 10, 2017",0.018536,0.018547,0.015406,0.015435,"40,792,200","495,932,000"
"Jun 09, 2017",0.014874,0.018624,0.014823,0.018624,"56,713,200","397,410,000"
"Jun 08, 2017",0.013986,0.01521,0.013348,0.014899,"29,928,200","373,208,000"
"Jun 07, 2017",0.015661,0.016735,0.013346,0.013905,"32,680,300","417,322,000"
"Jun 06, 2017",0.015418,0.01663,0.01385,0.015663,"45,840,900","410,288,000"
"Jun 05, 2017",0.014369,0.017244,0.014304,0.01539,"54,687,500","381,911,000"
"Jun 04, 2017",0.014459,0.017676,0.013428,0.014407,"113,518,000","383,845,000"
"Jun 03, 2017",0.010089,0.017093,0.009614,0.014981,"122,253,000","267,588,000"
"Jun 02, 2017",0.008513,0.010634,0.008436,0.010058,"39,687,800","225,553,000"
"Jun 01, 2017",0.007472,0.008527,0.007402,0.008492,"20,168,700","197,803,000"
"May 31, 2017",0.007782,0.007842,0.007145,0.007476,"15,261,900","205,818,000"
"May 30, 2017",0.008091,0.00881,0.007686,0.007797,"21,492,800","213,820,000"
"May 29, 2017",0.006693,0.008419,0.006593,0.008059,"14,410,100","176,717,000"
"May 28, 2017",0.006724,0.007701,0.006156,0.006738,"13,343,200","177,363,000"
"May 27, 2017",0.006962,0.007187,0.004751,0.006699,"18,964,100","183,440,000"
"May 26, 2017",0.009264,0.009692,0.00669,0.007124,"17,252,100","243,823,000"
"May 25, 2017",0.009057,0.010012,0.007383,0.009231,"27,509,800","238,103,000"
"May 24, 2017",0.00977,0.010272,0.008888,0.00915,"27,924,400","256,509,000"
"May 23, 2017",0.008834,0.011332,0.00878,0.009704,"45,783,500","231,558,000"
"May 22, 2017",0.010595,0.010595,0.007736,0.008868,"47,962,700","277,289,000"
"May 21, 2017",0.008649,0.012221,0.008649,0.01067,"69,203,400","225,975,000"
"May 20, 2017",0.006647,0.008374,0.006014,0.008259,"34,537,700","173,445,000"
"May 19, 2017",0.004161,0.006679,0.004022,0.006616,"27,964,900","108,436,000"
"May 18, 2017",0.004096,0.004355,0.003692,0.004111,"13,870,400","106,631,000"
"May 17, 2017",0.002616,0.004705,0.002566,0.004108,"25,735,100","68,037,000"
"May 16, 2017",0.002705,0.002729,0.002518,0.00262,"5,100,050","70,268,700"
"May 15, 2017",0.002736,0.002788,0.002462,0.002724,"5,851,600","70,985,200"
"May 14, 2017",0.002342,0.002723,0.002342,0.002723,"3,013,850","60,677,600"
"May 13, 2017",0.002241,0.002465,0.002157,0.002331,"1,951,460","57,993,900"
"May 12, 2017",0.002237,0.002435,0.002235,0.00225,"1,620,950","57,813,900"
"May 11, 2017",0.002423,0.002475,0.002142,0.002243,"2,066,880","62,544,500"
"May 10, 2017",0.002132,0.002556,0.00211,0.00243,"2,676,420","54,975,800"
"May 09, 2017",0.002432,0.002514,0.00201,0.002151,"3,556,110","62,650,400"
"May 08, 2017",0.002571,0.002713,0.002252,0.002402,"4,940,360","66,142,300"
